,NonStopwordsQuoteText,Topic,Topic_Prob,TopicWords,Batch
8305,תשמע נתנו לבנות עשרים ושלוש גנים באתי לבנות ופתאום מוצא לבנות הירח אדמות קיבל הנייר בפועל לממש חברים הסתובבתי בכפרים ובערים הערביות מעשרים ישובים לחברה הערבים מקנא שיבושם לכפרים הדרוזים ואין צריכים חמישים לאותו החברה הערבים וכמה לחברה היהודים משרתים ביחד לדוגמא זיארת נאבי שועייב חג אחינו הדרוזים ברית ברית דמים שאף יגיע אלינו צק בכיס מטומטמים להשמיע הדברים המקום ושרה,בריאות,0.9842745,"('0.016*""החולים"" + 0.013*""הבריאות"" + 0.010*""חולים"" + 0.008*""בתי"" + 0.007*""הילד"" + 0.006*""נוער"" + 0.004*""הטיפול"" + 0.004*""לזכויות"" + 0.004*""בבתי"" + 0.003*""הדרכים""',)",2
8621,והחלק למליאה יידון החלקים שעוברים למליאה הדו-שיח הבריאות דעתנו החלק הועבר למליאה הנושאים שנמצאים סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספות 9 התשפא-2020 נוסף סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספות 10 התשפא-2020 והצעת סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספות 11 התשפא-2020,קורונה,0.98165715,"('0.021*""התקנות"" + 0.020*""הקורונה"" + 0.012*""הוראת"" + 0.011*""נגיף"" + 0.010*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""מיוחדות"" + 0.007*""בתקנות"" + 0.006*""פעילות"" + 0.005*""הגבלת""',)",2
6880,ב-4 במאי טטיאנה חייקין 50 במותה נרצחה פי החשד בדקירות זוגה שהמשיך להתעלל בגופתה בשנת 2014 ריצה שנת מאסר בגין אלימות נגדה ב-16 במאי מאיה ווישניאק 22 במותה פי החשד נחנקה למוות זוגה באותו האירוע דקר אמו ופצע באורח,חינוך,0.97559166,"('0.091*""החינוך"" + 0.024*""התרבות"" + 0.022*""והספורט"" + 0.017*""חינוך"" + 0.012*""הלימודים"" + 0.012*""הספר"" + 0.011*""שנת"" + 0.010*""במערכת"" + 0.008*""מערכת"" + 0.007*""תלמידים""',)",2
6673,צוהרים החוקה סמכויות מיוחדות להתמודדות נגיף הקורונה 24 שמדברת חגים עמים עדות נוספות קטן; והצעת הכרזת סמכויות מיוחדות להתמודדות נגיף הקורונה בידוד שנכנס לישראל בנסיבות מיוחדות 3 2 שמדברת צמצום והרחבה רשימת המדינות,קורונה,0.97137296,"('0.021*""התקנות"" + 0.020*""הקורונה"" + 0.012*""הוראת"" + 0.011*""נגיף"" + 0.010*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""מיוחדות"" + 0.007*""בתקנות"" + 0.006*""פעילות"" + 0.005*""הגבלת""',)",2
8436,אלינו חברה שהגיעו מתגלית שאותם נציג לעומק מאוחר בישיבה למטה מתכוננים לקראת הקרנת סרט מרכז היזמות סרט ואחת מהקבוצות רואות הסרט מוקרן בחמש שפות מרכזיות ביניהן רוסית צרפתית ספרדית ואנגלית אכביר במילים נתחיל,בריאות,0.97132057,"('0.016*""החולים"" + 0.013*""הבריאות"" + 0.010*""חולים"" + 0.008*""בתי"" + 0.007*""הילד"" + 0.006*""נוער"" + 0.004*""הטיפול"" + 0.004*""לזכויות"" + 0.004*""בבתי"" + 0.003*""הדרכים""',)",2
7887,פותחים כלכלה בסוגיה כואבת במדינה הקטל בדרכים משנפלו חיילים במלחמות הרוגים בתאונות דרכים מציינים הפצועים בתאונות דרכים עשרות אלפים מאות אלפים מצטבר שחייהם השתנו לבלי הכר תאונת דרכים וסוחבים פציעות ונכויות קשות,בריאות,0.97046316,"('0.016*""החולים"" + 0.013*""הבריאות"" + 0.010*""חולים"" + 0.008*""בתי"" + 0.007*""הילד"" + 0.006*""נוער"" + 0.004*""הטיפול"" + 0.004*""לזכויות"" + 0.004*""בבתי"" + 0.003*""הדרכים""',)",2
9703,שמתקשר אלינו במהלך שיחה אובדנית למעלה משניים יתאבד באותו השיחה תיגמר נאתר תוך שיחה לוקח לוקח ולפעמים ייקח שעתיים נאתר ברצונו ושלא ברצונו וצוות יגיע אליו וייקח לבית חולים ייקח למקום,בריאות,0.96958715,"('0.016*""החולים"" + 0.013*""הבריאות"" + 0.010*""חולים"" + 0.008*""בתי"" + 0.007*""הילד"" + 0.006*""נוער"" + 0.004*""הטיפול"" + 0.004*""לזכויות"" + 0.004*""בבתי"" + 0.003*""הדרכים""',)",2
9957,העניין שנמצאים סביב השולחן וכולם צודקים פלטפורמה מתחרה תיווצר נבין ושוב צודקים מרוב שכולם צודקים נחזור ליהודה עמיחי שכולם צודקים אמרתי שלט לפניי ציטוט יהודה עמיחי שבו צודקים צודקים פגשתי צודק,ניצולי שואה,0.96955866,"('0.008*""האוצר"" + 0.005*""החלטה"" + 0.005*""לקיים"" + 0.005*""השואה"" + 0.005*""שרים"" + 0.004*""בסופו"" + 0.004*""ניצולי"" + 0.004*""הדברים"" + 0.003*""העניין"" + 0.003*""שואה""',)",2
436,אחזור התהליך כולו שמאותה ידיעה שנאמרה במצרים לרגע לעקוב התפתחות הדברים להוציא הודעה ברגע שהוצאת הודעה רלוונטית העלית סטטוס סטטוס נוצר בחדר שצופים בנו שהעניינים ברורים לאור מסכת האמירות וההתנצלויות עומדים,ניצולי שואה,0.96946007,"('0.008*""האוצר"" + 0.005*""החלטה"" + 0.005*""לקיים"" + 0.005*""השואה"" + 0.005*""שרים"" + 0.004*""בסופו"" + 0.004*""ניצולי"" + 0.004*""הדברים"" + 0.003*""העניין"" + 0.003*""שואה""',)",2
9544,ניסחנו ההסכמות שהוצגו עקרוני בישיבות הקודמות וטרם הוקראו מבקשים להקריא בפני ולקבל אישורה לניסוחים ניסחנו אותן הסכמות בנוסח שנשלח לקראת הניסוחים עומדים להקריא מסומנים בצהוב ורעות תקריא סדרם צורך נסביר,נשים,0.9686162,"('0.017*""מעמד"" + 0.017*""לקידום"" + 0.017*""האישה"" + 0.010*""מגדרי"" + 0.009*""שירותים"" + 0.008*""פותחת"" + 0.008*""ולשוויון"" + 0.007*""הנוסח"" + 0.007*""נוסח"" + 0.007*""שינויים""',)",2
17738,החוקה נושאים סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות במקומות 3 התשפא-2020 נדון הזומים שיהיו מקריא הנושאים סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספות 9 התשפא-2020,קורונה,0.96761596,"('0.021*""התקנות"" + 0.020*""הקורונה"" + 0.012*""הוראת"" + 0.011*""נגיף"" + 0.010*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""מיוחדות"" + 0.007*""בתקנות"" + 0.006*""פעילות"" + 0.005*""הגבלת""',)",2
15582,ברשותכם פותחת המיוחדת נגיף הקורונה צו לתיקון ולקיום תוקפן שעת חירום נגיף הקורונה הגבלת פעילות שינוי התוספת לחוק התשף-2020 לתיקון ולקיום תוקפן שעת חירום נגיף הקורונה הגבלת פעילות התשף-2020,קורונה,0.96761584,"('0.021*""התקנות"" + 0.020*""הקורונה"" + 0.012*""הוראת"" + 0.011*""נגיף"" + 0.010*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""מיוחדות"" + 0.007*""בתקנות"" + 0.006*""פעילות"" + 0.005*""הגבלת""',)",2
2884,החוקה ומשפט סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספות 14 התשפא-2020 והצעת סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות והוראות נוספות 15 התשפא-2020,קורונה,0.965303,"('0.021*""התקנות"" + 0.020*""הקורונה"" + 0.012*""הוראת"" + 0.011*""נגיף"" + 0.010*""סמכויות"" + 0.008*""להתמודדות"" + 0.008*""מיוחדות"" + 0.007*""בתקנות"" + 0.006*""פעילות"" + 0.005*""הגבלת""',)",2
1627,פותחים לפניות הציבור הרחבת רפורמת הר-קו לגוש דן והפסקת טעינת כרטיסי רב-קו אצל נהגי האוטובוסים עובדה שבירושלים קורה בגוש דן מעקב קיימנו דיונים הרב-קו ב-1922018 ב-42018,כלכלי,0.9638538,"('0.017*""הכלכלית"" + 0.014*""התקציב"" + 0.012*""התכנית"" + 0.010*""חקיקה"" + 0.010*""פרק"" + 0.007*""המדיניות"" + 0.007*""ההסדרים"" + 0.006*""ליישום"" + 0.005*""העוני"" + 0.005*""הלאומי""',)",2
