QuoteText,Topic,Topic_Prob
"אדוני היושב-ראש, אדוני סגן השר, בוקר טוב. השאלה שלי היא בנושא העומס החריג בפעילות סניף רשות ההגירה בדרום תל אביב, המהווה מטרד לתושבים. בלשכתי התקבלה פנייה מתושבת דרום תל אביב הקובלת על מטרד מתמשך – רעש, לכלוך, חסימת גישה – עקב עומסים חריגים בתור לסניף הרשות, שלא טופל חרף פניות רבות של התושבים ושלה.",בריאות,0.97559094
"תוך כדי הפעלת המפעל החשוב הזה התבררה תמונה נוספת, שלא רק שילדים היו נהנים מארוחה בבית הספר, אלא היו דואגים לקחת עוד מנה אחת או שתיים, וכששאלו אותם, אמרו – זה בשביל אחי, או אחותי, כדי שיהיה להם מה לאכול.",בריאות,0.87900865
"אנחנו מדברים על הסתייגות בסעיף 19יד(ד)(1), לאחר המילים ""על מצבו כאמור"" יבוא ""אם יינתן לו הטיפול ואם לא יינתן לו הטיפול הרפואי המבוקש"". אנחנו רוצים להוסיף גם את האפשרות הזאת.   אנחנו כל הזמן מדברים על כך שבית המשפט צריך לקבל את ההחלטה בהתאם למה יקרה לו אם הוא לא יקבל את ההזנה. אני מבקשת שבית המשפט ייקח בחשבון גם מה יקרה לו אם הוא כן יקבל את ההזנה ואת הסיכונים הבריאותיים והנפשיים.",בריאות,0.7138519
"אז אנחנו בדיון על החלת דין רציפות לפי חוק רציפות הדיון בהצעות חוק על הצעת חוק הגנה על זכויות אמנים במוזיקה. רק אזכיר במה מדובר: מדובר בהצעת חוק, שבאה לקבוע הגבלות מסוימות על החוזים שנקשרים בין אומנים בתחום המוזיקה לבין מפיק, מוציא לאור, אמרגן, מנהל אישי – כל בעצם סוגי החוזים שנקשרים בין אומן לבין מי שמנהל את הקריירה שלו, את הוצאת התקליטים וכו'.",בריאות,0.8260139
"בוקר טוב לכם, מנהלת הוועדה, היועצת, חברי חבר הכנסת, אורחים, ומי שמשעמם לו הבוקר וצופה בנו באינטרנט. תמיד אני אומר לעצמי: מי הגיבור הזה שעכשיו יושב בבית, גולש, ואומר: ואללה, אני חייב לראות את תקנות התקשורת. אז תחייכו ותתנהגו יפה. ",בריאות,0.56133133
"בוקר טוב לכולם. הנושא שאנחנו דנים בו היום הוא דו""ח מוכנות העורף, הכנסת רשת החשמל לשעת חירום, דו""ח מבקר המדינה משנת 2015. ",בריאות,0.5949708
"היה סיכום שהמשרד לשירותי דת יפעל למען תכנית כלשהי שתכשיר, בהתחלה חשבנו את הרבנים, כדי לעסוק בנושא הזה והיום אני מבינה שיש הצעה שהיא קצת שונה. אני חושבת שעצם העובדה שיש הצעה לתכנית של הכשרה, אנחנו נשמע אותה בהקשבה וברצון טוב. אני אתן לכבוד השר לפתוח את הישיבה הזאת אבל אני רוצה להגיד שאני יודעת שאנחנו נוגעים היום בנושא כואב, נושא קשה, נושא שאולי אני כמי שבאה מהחברה הערבית, חברה שגם היא ניסתה שנים רבות לא להתייחס לנושא, להחביא אותו, להתבייש בו, לא לתת לו את כובד המשקל הראוי, אני יכולה להבין את השיח שמתקיים היום בחדר הזה.",בריאות,0.6744768
"אני מודה ליושבת הראש, חברת הכנסת זנדברג, שהזמינה אותי לדבר בפורום הנכבד הזה של  ועדה של הכנסת. אני רוצה להקדים שתי הקדמות קצרות. האחת, אני לא מייצג שום מאבק ושום מאמץ ושום תנועה ושום גוף, לא לקחתי חלק בשום פעילות, לא לכאן ולא לכאן ועל הקשרים שיש לי עם הנושא הזה אני אומר אחר כך, בשמץ של גילוי נאות. העניין שלי הוא בתפיסה של מדינה דמוקרטית ותפיסה של אתיקה רפואית. ",בריאות,0.73371345
"אני אתחיל במקרה היותר קל – אבל גם בו אני רוצה להציע הצעות מעשיות שלוקחות אותנו כמה צעדים קדימה. המקרה היותר קל הוא השימוש הרפואי בקנאביס. למען הגילוי הנאות שאני צריך למסור, בשנת 2000 שר הבריאות דאז, בתור חבר הכנסת בניזרי, הקים ועדה מקצועית שתדון בצורה שבה רופאים יכולים להתיר למטופלים שלהם להשתמש בקנאביס. הייתה ועדה מקצועית, רופאים, רוקחים, משפטן ואני ואנחנו המלצנו על הסדר לפיו רופא יוכל לפנות לוועדה של משרד הבריאות, הועדה הזו תצטרך לקבל ממנו פרטים, את הפרטים על המחלה שהמטופל סובל ממנה, ועל הבסיס המדעי לומר שקנאביס יעזור לטיפול במחלה הזו וכן שנכשלו כל המאמצים לפתור את הבעיה הזו באמצעים אחרים, בתרופות או טיפולים אחרים. ",בריאות,0.84749687
"צהריים טובים. ברשותכם אני פותחת את דיון הוועדה. הדיון יעסוק היום בשימוש בצבעי מאכל וחומרים משמרים במזון ובריאות הילדים. אנחנו נחשפים יותר ויותר לנושא החומרים המסוכנים שנמצאים במאכלים שהילדים שלנו פוגשים ואוכלים לעתים קרובות מאוד וזה הפך להיות חלק מתעשיית המזון. חלק מן החומרים משמשים אולי לשימור המזון אבל אנחנו יודעים שהרבה מאוד חומרים הם יותר לשם האסתטיקה, אין להם הרבה תרומה מבחינה תזונתית אבל הפגיעה שלהם, מסתבר, לאורך זמן, יכולה להיות מאוד קשה וכואבת בבריאות של הילדים שלנו. ",בריאות,0.74432826
אנחנו חוזרים על זה. הגענו להסכמות ואין בעיות עקרוניות. אנחנו נוסעים הלאה ומקבלים את עמדת בעלי המקצוע כאן אלא אם כן יש הערות שהן הערות עקרוניות.,בריאות,0.7287177
"המהלך של מעבר לנגב הוא בעיני מאד מאד מבורך וגם המבקר ציין זאת. זה באמת החזון הבן גוריוני, אני חושבת, במלוא מובן המילה. הנכונות לעבור לנגב היא חשובה ובאמת אני יודעת שנעשית עבודה. יש פעילות לילות כימים וזה לא משהו שהיה מובן מאליו, בטח לא אם היינו מקיימים את השיח הזה לפני אי אילו שנים. אני מבינה שקריית ההדרכה כבר מאוכלסת ברובה. ",בריאות,0.652833
"אני אתן לזה משל ממקום אחר. היה מישהו שהביא מאכל אמריקאי מאוד מאוד משובח. הוא שכר חנות במחיר יקר מאוד בשכונה רגילה בתל ארזה בירושלים, מעשה שהיה, והוא החליט שהוא צריך להרגיל את האנשים לאכול את הטוסט הבשרי הזה שבאמריקה מאוד נפוץ. אני אמרתי לו, 'פה תפתח פיתה פלאפל, אולי פיצה, שהבאת מאמריקה, אבל אתה לא תרגיל את האנשים לאכול משהו אחר ממה שהם אוכלים', הוא אמר 'לא, אני רוצה להיות ייחודי'. הסיפור נגמר כמובן בחובות ובחצי שנה או שנה שהוא עמד בחנות ועד היום יש לו עוד בעיות עם הארנונה, של השלט של אותה חנות מיוחדת. ",בריאות,0.9796132
"לוועדה דווח כי בשנת 2014 הוגשו 16,000 תלונות על הסתה אנטישמית ברשתות חברתיות, פייסבוק, טוויטר ואינסטגרם, כולל גיוס פעילים לפעולות אנטישמיות. האנטישמיות מתרחבת ברחבי העולם, רק בחודש הנוכחי אירעו מגוון אירועים אנטישמיים במדינות הבאות, בברזיל, אלג'יריה, ארצות הברית, פולין, צרפת, איטליה, יוון, גרמניה, בריטניה, צ'כיה, הונגריה ועוד. לדוגמה, בין היתר, בבודפשט צויר על קיר של מתקן יהודי צלב קרס ונכתבו כתובות נאצה, בצעדה בפולין נתלה שלט אנטישמי, בפריס נכתבו כתובות נאצה אנטישמיות ברובע ה-19. חבר הפרלמנט הברזילאי השווה את מינויו של דני דיין לשגריר למפקד מחנה ריכוז ועוד ועוד. ",בריאות,0.857747
"בוקר טוב, אדוני היושב ראש. לפני כחודש הודיעה מנכ""לית משרד החינוך לנציגי השלטון המקומי על קיצוץ של 150 מיליון שקל שאמור להיות מושת על התקציבים שמעביר להם המשרד, למעשה בכך יחיל משרד החינוך את רוב הקיצוץ שדורש ממנו האוצר על התקציבים שהוא מעביר לשלטון המקומי. ",בריאות,0.788081
"אבל הצד השני הוא שכמו שאנחנו צריכים להיאבק נגד ההון השחור, אנחנו גם רוצים לשמור מאוד על כבודו של האדם, על זכויותיו של האדם וגם שיהיו לו חיים פרטיים קצת ושיהיה סביר. החוכמה שלנו היא למצוא את שביל הביניים בין הדברים האלה.",בריאות,0.5607296
"התמ""א, שמתוקף החלטת הממשלה, היתה אמורה לעודד ולהקל על יזמים לפתח את תחום האנרגיה המתחדשת, הטילה יותר מגבלות וחסמים מאשר אפשרויות לבנות טורבינות כאלה, והם הופכים את התהליך של הקמת טורבינות רוח קטנות ובינוניות לבלתי-אפשרית, אם לא כדאית.",בריאות,0.96616435
"מידי יום ראשון אני מסתובב ברשויות המקומיות. אנחנו רואים שבחלק גדול מהרשויות המקומיות יש התפתחות גדולה מאוד במסגרת ההתחדשות העירונית. אני אזכיר לכם שבשנת 2015 נתנו היתרים ללמעלה מ-4000 דירות, בעיקר במסגרת של תמ""א. אנחנו בשנה הבאה צפויים להכפיל את היקף הבנייה במסגרת התחדשות עירונית. יש לנו פרויקט באור עקיבא של 1500 דירות שעומד לקבל היתר בנייה. יש לנו פרויקט בראשון לציון. לשמחתי קיימת שם את אותה כדאיות כלכלית לבוא ולבצע, לכן אנחנו נסייע בנושא הזה.",בריאות,0.71685266
אני סוגרת את הישיבה ואני אקיים ישיבה בהקדם האפשרי. אני מאוד מקווה שאני לא איאלץ לנקוט בצעדים חריגים שנתונים לי לסמכותי בוועדה על מנת לברר את הסוגיה הזאת. ,בריאות,0.93539184
בעצם אנחנו נמצאים עכשיו בפתחה של שנה חדשה ואנחנו עדיין צריכים לחוקק חוקים מסוג אפליה. ישנה אפליה בהרבה תחומים ולאו דווקא של לובשי מדי כוחות הביטחון. העובדה שאדם מגיע למקום בילוי ועוצרים אותו ולא נותנים לו להיכנס. אפילו בתקופה האחרונה עוצרים אנשים עם חזות מערבית עוצרים אותם ובודקים אותם. מבחינתי זה דבר לא טוב. אני כבר חשבתי שכל נושא האפליה כבר עבר מהעולם. אני אומרת לכם שאני נתקלת בזה. ,בריאות,0.55247307
"אני רוצה לפתוח ולהגיד שהוועדה שלנו, למרות שזה לא כל יום יום הסוכרת, אנחנו מנסים להתמודד עם הנושאים של בריאות הציבור לכל אורך השנה ובזמן האחרון גם בשבוע שעבר ביום הבריאות העולמי, אנחנו עד ההוראות המרשימות והפשוטות דווקא של פרופסור בשרה, מבית החולים האנגלוסקסי בנצרת, שהזכיר לנו שאם היו מסבסדים יותר את הלחם השחור, אז היו עושים מצווה גדולה לכל תושבי המדינה, ואני חושב שזו הערה כל כך פשוטה, קצת יקרה בשלב זה, אבל אם נאבק, נדע גם בזה להוריד את יוקר המחייה ולתת יותר בריאות לכל אחד מאיתנו.",בריאות,0.88624716
"לפי סעיף 11ב נקבע מה שמקובל לכנות ""מנגנון של אלכסון"". זאת אומרת, יצרו איזה דיפרנציאציה בין הרשויות המקומיות, בין המועצות הדתיות, וה-60-40 מתייחס רק לחלק אבל התנודה היא בין 25% שנושאת הרשות המקומית ועד 75% שנושאות הרשויות המקומיות הגדולות והחזקות.",בריאות,0.7087072
"אדם שמתקשר אלינו במהלך שיחה אובדנית, ויש כאלה למעלה משניים ביום, הוא לא יתאבד באותו היום. צריך לדעת את זה. השיחה לא תיגמר איתו ואנחנו נאתר אותו תוך כדי שיחה, לפעמים זה לוקח חצי שעה, לפעמים זה לוקח שעה ולפעמים זה ייקח גם שעתיים, נאתר אותו, ברצונו ושלא ברצונו, וצוות יגיע אליו וייקח אותו לבית חולים, ייקח אותו למקום בטוח. ",בריאות,0.96958715
"המשטרה משתמשת היום בנושא של חיפוש בהסכמה, שזה לא בדיוק חוקי, ואנחנו לא רוצים שזה יהיה. החוק הזה מהרגע שהוא מתקבל מבטל, יותר לא יהיה המושג של חיפוש בהסכמה שכולנו מבינים מה המשמעות של זה, בפרט אצל אנשים שכשבאים שוטרים הם לא יכולים להגיד ""לא"" כי הם מפחדים שהתוצאה תהיה עוד יותר גרועה.   ",בריאות,0.71128744
"רבותי, אני מתכבד לפתוח את ישיבת ועדת הפנים והגנת הסביבה בנושא הסדרת פעילותן של חברות הגבייה ברשויות המקומיות ובתאגידי המים. ",בריאות,0.5638656
"בדיונים הקודמים שנערכו אז, בחודש יוני, הוחלט, מבקר המדינה בעצמו היה, נכח, בדיונים, ואמר שיבדוק את הנושא. לפני כחודש המדינה הגישה את התגובה המקדמית שלה בהליכים המשפטיים שמתקיימים בנושא. היום אנחנו שבים לדיון.",בריאות,0.8824518
"יש כאן חבורה שכבר מכירה את נוהלי השולחן ואת נוהלי החדר הזה. ביום הזה או בזמן הזה, כמובן נציגי הממשלה, ובמקרה הזה דנה יקירתנו, אורחת קבועה כבר - לא אורחת, בת בית - תציג את העניין. ",בריאות,0.9425514
