QuoteText,OriginalTopic,Topic,Topic_Prob,,,,,,,
"בשיחות שקיימתי עם האוצר ובשיחות שקיימתי אם יושב-ראש ועדת הכלכלה עלתה טענתנו שגם בכנסת יש לשמוע היטב את הקולות האלה שמגיעים לכאן, שיספרו ממקום ראשון. אולי יש בידם נתונים שונים מהנתונים האבסולוטיים שמגיעים מבנק ישראל ויש חשיבות גדולה לבחינה שלהם. אני חושבת שיש צורך כבר עכשיו לעשות תיקונים מסוימים ונדבר על זה בהמשך. יש להביא בחשבון שלוועדות הכנסת יש תפקיד מרכזי וחשוב בתיקון והבאת החוקים. אנחנו תומכים בקואליציה ובהחלטות ממשלה, זה לא אומר שקולנו לא יישמע במסגרת הדיונים. החקיקה תגיע לוועדות הכלכלה והעבודה והרווחה. אני אומרת כאן שתצטרכו לקחת בחשבון את העמדה שלנו שמייצגת את האינדיבידואל ואת הציבור ואני מקווה ומאחלת לנו שנצליח להגיע לפתרונות הללו, עד כאן דבריי. יושב-ראש ועדת הכלכלה, בבקשה. ",בטחון,כלכלי,0.98490083,,,,,,,
"כן בהקשר הנכון, אדוני היושב-ראש, כיוון שהביקורת הייתה על הסגירה ללא הסבר וללא שקיפות, על הפתיחה ללא הסבר וללא שקיפות. אם המטרה היא לשמור על בריאות הציבור, אז לא כאן ולא כאן דעתי נוחה. אני מקבלת את הסכנה, אדוני היושב-ראש, שיש על אזרחי מדינת ישראל, צריך להיות מנגנון לסגירה ולפתיחה כי הסכנה היא אמיתית לבריאות הציבור. מרגע שהחלטנו לסגור את השמיים כי יש סכנה לבריאות הציבור, מאותו רגע הייתה צריכה להיות תכנית אמיתית שתאפשר לאזרחים לנוע, לבני הזוג שלהם להיכנס. משהחלטנו פתאום לפתוח את השמיים כי יש בחירות, ובאמת זאת זכות דמוקרטית חשובה, בריאות הציבור עדיין חשובה לא פחות. אדוני היושב-ראש, אני חושבת שחלק מהסיבה היא שאין שקיפות.  ",בטחון,קורונה,0.9844318,,,,,,,
"אני אומר בגדול, בסך הכול יש לנו אתרים מקודשים לעם היהודי, ולא רק לעם היהודי, יש אתרים נוספים אחרים מעדות אחרות, אנחנו מכבדים את כל האתרים, אז אני אמרתי שנעשה דיון בענין הזה כדי לצאת בסופו של דבר, בסוף הדיון, כשאנחנו לפחות מדברים ומנסים לכוון לזה שאתר הרשב""י יהיה אתר יותר מכובד מהיום, יותר נקי, יותר אסתטי, ייתן שירות לכל האנשים שבאים לקבל שם שירות וכמובן, אני אומר את זה באופן חד משמעי ובאופן קטגורי, אני גם מתייחס לדוכנים שם. הייתי הרבה שנים בעירייה והיו לנו הרבה דוכנים שהיינו מאפשרים אותם לאנשים, בסופו של דבר, יש שם גם צורך בדוכנים ויש גם אנשים שמתפרנסים מזה, רק צריך להסדיר את הכול שיהיה מכובד ובסך הכול התוצאה יכולה להיות בסופו של דבר, ולשם אני מושך, שכולם ייהנו. זאת אומרת שגם יהיו - - - ",בטחון,בלי,0.98417515,,,,,,,
"תראו, אנחנו עוסקים היום בנושא כאוב ועצוב. הוא כאוב ועצוב פעמיים. הוא נושא של רשלנות רפואית. פעם אחת כי זה פשוט עצוב. כי הייתה טעות וזה נכון שטעויות יכולות לקרות, הן לא צריכות, אבל הן יכולות, בוודאי כשמדובר בהליך רפואי. גם אם מדובר בהליך רפואי אלקטיבי וממנו יוצאים עם מגבלה קשה לכל החיים, או חס וחלילה נשמע גם על מקרה פטירה שהגיע. זה באמת לא מתקבל על הדעת. ופעם שנייה, כי לקראת הדיון היום הגיעו אלינו מקבץ של מקרים, שבהם לא רק שהנורא מכל קרה ובן המשפחה נפגע בגלל רשלנות, אלא שזה גם לא נבדק עד הסוף ולא טופל עד הסוף במשרד הבריאות, כדי לוודא שמקרים כאלה לא ישנו ולא יחזרו על עצמם.",בטחון,בריאות,0.9831753,,,,,,,
"הנושא האחרון שהתוודענו אליו, אני רוצה להגיד שזה היה גם כן באופן די מקרי, אני רוצה להגיד שזו פעולה יפה, שליחות יפה של חבר מועצה במועצת חוף אשקלון. התושבים לא קיבלו שירות כמה ימים ומישהו, חבר מועצה, נדרש ושאל וחקר ושוב חקר ושוב דרש והוא קיבל את התשובה שבעצם המועצה נמצאת בדרישת כופר ואין לה את המידע שהיא יכולה להפעיל והיא בעצם חסומה מלהפעיל את המערכות שלה. המועצה שילמה את הכופר, אבל מהפרט למדנו כלל, שזה לא המקרה הראשון, ששולם, שזה קיים. עצם הנושא הזה שנמצא פרוץ, כפי שאנחנו יודעים במקרים כאלה, כפי שכל קרימינל יודע וכפי שגם אנחנו יודעים, שכל פרצה קוראת לעוד פרצות וזה רק יכול להתגבר. ",בטחון,בלי,0.9831601,,,,,,,
"אני קצת אתן לכם מספרים. כשמסתכלים על אסותא, יש לנו ארבעה בתי חולים, יש לנו בית חולים בצפון, בקריות, יש לנו בית חולים בדרום, בבאר שבע, יש לנו בית חולים בראשון, יש לנו בית חולים בתל אביב, יש לנו שלושה מרכזים רפואיים שבהם אפשר לעשות דברים עד אשפוז של 23 שעות ואנחנו מפעילים MRI, היחידים בארץ, מבאר שבע בואך אילת דרך דימונה ויישובים אחרים, ככל שרק אנחנו מתבקשים. אנחנו מפעילים את ניידת הממוגרפיה, שהאגודה למלחמה בסרטן לא הצליחה להפעיל, הם נתנו לנו אותה, ואנחנו מפעילים אותה ממטולה ועד אילת בכל המקומות הכי נידחים. עכשיו אנחנו רוצים גם לנסות לרכוש ניידת נוספת. ",בטחון,בריאות,0.9821696,,,,,,,
"ברור שבסדר העדיפות של המשטרה, היא לא רואה בזה יעד מרכזי, הראיה, כשיש משברים כמו ירושלים או אחרים, בדרך כלל לוקחים את הכוחות המעטים שעסוקים בהגנה במניעת הפשיעה החקלאית. אי אפשר להטיל את האחריות רק על הגופים האזרחיים, אנחנו כבר מדינה שחגגה השנה עצמאות עוד מעט 70 שנה, עם כל הכבוד, ויש כאן ארגונים ויש כבוד, יש מדינה והיא צריכה לתת את התשובה. אי אפשר לא פעם לשאול, אם זו הייתה אוכלוסייה אחרת, אם זה היה מקום אחר, מה שאני קורא היפים והאמיצים זוכים לתשובות יותר מהירות מהמשטרה, עד כדי לחפש את הפלאפון של איזה ידוענים ואיזה רכבים מיוחדים שנגנבים, מושקעים הרבה יותר מאמצים מאשר באמצעי ייצור של חקלאים שפרושים בכל הארץ. ",בטחון,בטחון פנים,0.98215795,,,,,,,
"כמו שהיושבת ראש ציינה, אנחנו מדברים על מערכות לתיווך בין כספים שמלווים לכספים שלווים. המערכת הזאת היא תוצר של התפתחות טכנולוגיה קיימת. מדובר על מערכת חדשה יחסית בעולם. היא מתווכת בין אנשים שיש להם מקורות שהם מעוניינים להשקיע על מנת לקבל תשואה, לבין לווים שצריכים ומעוניינים ללוות. היא מערכת סגורה. היא סגורה במובן הזה שהכסף מגיע מהמלווה לתוך המערכת, מופץ או מפוזר ללווים שונים, כאשר הכסף מן הלווים חוזר ישירות לחשבון של המלווה עצמו. יש מערכת אחת שמנהלת חשבונות בנאמנות עבור המלווים שאת כספם היא מלווה. ",בטחון,כלכלי,0.9818073,,,,,,,
"אני אחזור שוב על הדברים, שבעצם כרגע מתברר לנו שהפרשה משליכה על הדור השני, והדור השני כשהם רוצים לבוא ולממש את הרכוש של ההורים אחרי הפטירה שלהם ולחלק את הירושה בין בני המשפחה, ואנחנו מדברים על צו ירושה, זה אומר שאין צוואה וצריך לחלק את הירושה על פי דין. אם רשום במסמכים שיש ילד נוסף, בני המשפחה האחרים צריכים להוכיח שהילד הזה איננו בין החיים, ובעצם כאן נכנסת הפרשה שלנו שהילדים נעדרו, הם רשומים בתעודות הזהות של ההורים, אבל אין שום תעודת פטירה, אין שום דבר, ולא יכולים לבוא ולאמר שהילד נפטר.",בטחון,רווחה,0.980468,,,,,,,
"אני נותן פה דגש אחד, שמאוד מאוד הקפדנו עליו, שהמניע למהלך של אותות, תעודות, הוא משרד הביטחון, שר הביטחון. זה חשוב. גם נקפיד על כך, שאותות זה אותות, אבל מי שמקבל תעודות – אזרחים, אין טעם לתת להם תעודה שישימו את זה על החולצה הלבנה, ולכן הם יקבלו תעודה. בתעודה יהיו חתומים גם שר הביטחון וגם השר הרלוונטי המוביל. זה בעצם דגש מאוד מאוד חשוב. בתיקון, בעקבות הדיון הקודם, נתנו הרבה מקום גם לשרים, לראשי הארגונים, שהם בסופו של דבר אלו שמזמנים, אלו שעובדים. ולכן חשבנו שהדבר הזה הוא נכון. ואני מציע, מירי, שנעבור - - -",בטחון,בלי,0.97877365,,,,,,,
"בעצם נכנסנו למרכז נסרים שירמי תיכף יפרט לנו על המקום הזה - - - הגענו למרכז נסרים גם לחגוג ולראות אירוע מאוד מיוחד שהוא בעצם סמינר חיים משותפים על רקע הימים האלו. זה איזשהו סמינר רב תרבותי שאנחנו עושים של מפגש בין תרבויות ואוכלוסיות בני נוער. אבל שווה רגע לפני שנצלול לסמינר ולשותפות שלנו עם קק""ל אני רוצה רגע לנסות ולפתוח את הצ'אקרות במקום המקסים הזה. ביקשנו מהשותפים שלנו מקק""ל לקחת אותנו לאיזה סיור קטן להכיר. יש פה גם המון פעילויות שקורות במקביל. ",בטחון,תרבות,0.97876406,,,,,,,
"העיצומים הכספיים משתנים לפי האם זה יחיד או תאגיד, והם משתנים לפי ההוראה שהופרה. מייד אדבר על הסכומים. הסכומים קבועים בחוק. עבירה היא 5,010 שקלים על ההוראות שמנויות בחלק א' לתוספת השנייה; ואם זה יחיד אז זה רק 2,500 שקלים חדשים, יחיד שלא במסגרת עסק שלו או פעילות ציבורית שלו; אם אלו העבירות היותר חמורות זה כבר 20,040 שקלים; ולגבי יחיד - 10,020 שקלים.",בטחון,בלי,0.97675264,,,,,,,
"בהקשר הזה אני רוצה לציין לטובה את רשות המים שפורסם אתמול שהורידה את ריבית הפיגורים שלה ב-50 אחוז, מתוך הבנה ומחשבה שהריבית פיגורים היא גם גבוהה והיא גם, בסופו של דבר, לא מסייעת לגבות את החוב. אני רוצה לציין לטובה גם את מד""א, שעמדנו איתם בקשר בשנה-שנתיים האחרונות ליצירת איזה שהוא נוהל שגם יכול להפחית את ריבית הפיגורים ואת החוב שיש לאנשים בעוני למד""א כדי באמת לסייע לאנשים האלה ולהקל עליהם. ",בטחון,בלי,0.9767418,,,,,,,
"האמת, אני רק 50 ומשהו שנים בארץ, יותר זמן מכמה ילידי הארץ פה, והנושא הזה אף פעם לא תפס אותי למרות שזה חלק מחיי, למרות שאני חייב להגיד לכם שמעמד היתום מאב שלי, אנחנו קיבלנו הרבה חיזוק אישי, יכולות אישיות שאפשרו לנו להתמודד עם החיים, גם איזו עצמאות אישית. אימא אמרה, רק תעשו מה שאתם רוצים, אבל כל עוד שהיינו במרוקו, שיהיה לא יותר מקילומטר אחד, שבשבת נוכל להיפגש, וכל השאר, אם תצאו לחוץ לארץ אז תדאגו שאני אדע להגיע אליכם גם אחרי שמצבנו הכלכלי ישתפר. ",בטחון,רווחה,0.9766107,,,,,,,
"לא ברור למה צריך עוד משרדים ואפשר לחשוב אולי שזה טוב שיש עוד משרדים שדנים בעניין החשוב הזה, אבל המציאות לימדה אותנו, אדוני, שהדבר הזה פוגע בכוחה של מדינת ישראל לייצר הסברה טובה ואחידה. כי מתברר שאין נהלים שקובעים את חלוקת האחריות בין הגופים, לא נקבעו ממשקי העבודה ביניהם, יש חוסר תיאום. אם לא די בכך, למיטב ידיעתי, טרם מונה ראש מערך ההסברה והתפקיד מיותם כבר חודשים רבים. ",בטחון,בלי,0.9755985,,,,,,,
"אתמול שיגרתי מכתבים לשני גדולי תורה שאני מכבד ומוקיר מעומק לבי בלי קשר להיותי ממפלגת יש עתיד. אני ספרדי, מזרחי באתי מדימונה. חלקה של משפחתי הם אנשים חרדים, אני חי את הנושא הזה וזה נושא שמאוד מאוד כואב לי. לכן אני שם את זה על השולחן ולא מרפה. אני מקווה שגם הרב שטיימן והחכם שלום כהן שאותו אני מכיר באופן אישי, אני משער שהם באמת ענקי דור ואני מקווה שהם יתייחסו לסוגיה הזו ויגיבו, כדי שנשמע את קולם.   ",בטחון,בלי,0.97558415,,,,,,,
"שלום לכולם, בוקר טוב. אנחנו מקיימים את הישיבה הזו שהיא ישיבה ראשונה של הפורום בתוך עצמו, עם עצמו וכמובן עם צוות הוועדה שליווה אותנו לכל אורך הדרך, הוא גם יזם את הדיונים, אז הוא גם הכי בקי בסוגיות השוטפות. אחרי ששמענו ושלחנו לכם תקציר של כל המפגשים שהיו עם באמת המינימום שבמינימום שהיה אפשר לכתוב כדי לחבר בין המפגש לבין תוכנו או מהותו, כמובן הוא לא מייצג את מה שהיה במפגשים, הוא רק נותן בנגיעה, לא יותר מזה, הוא בוודאי לא במקום לקרוא, מי שלא היה ורוצה להתעדכן, זה לא תחליף לדברים שנאמרו ונאמרו לא מעט דברים משמעותיים. ",בטחון,בלי,0.974952,,,,,,,
"עם פתיחת הפרוטוקולים יש לנו חלק מהמקומות ציון של קבר, ואנחנו צריכים לנסות ולאתר, ובסופו של עניין, אנחנו רוצים לדעת אם יש לנו קבר ומי שקבור מתחת לציון קבר – ולא תמיד יש ציון קבר עם שם, לפעמים יש אלמוני, לפעמים יש קברים משותפים, ואנחנו רוצים לתת למשפחות קבר שעליו הם יוכלו להתאבל וזה בעצם חלק מהעניין של לסגור את הפרשה. כדי לדעת מי קבור שם, צריך לעשות בדיקות די.אנ.איי. לשרידי הגופות שיימצאו אם אנחנו נפתח.",בטחון,רווחה,0.97361565,,,,,,,
"אדוני שר הביטחון וראש הממשלה החלופי, הטכנולוגיה ואתגרי הביטחון מולם אנו מתמודדים משתנים בקצב שאינו מאפשר לנו להידרש לתקציב ביטחון של פעם בשלוש שנים כתוצאה מחוסר יציבות פוליטית כרונית. זוהי אזעקת אמת. אלה מחירים שחוסנה של ישראל אינו יכול להם. אני אומר זאת כאן בתוקף תפקידי כמתריע לאומי, שזה אחד מהתפקידים המופקדים בידיה של ועדה זו.",בטחון,בטחון,0.97208303,,,,,,,
"המנגנון שנקבע בחוק הוא מנגנון של רישום צולב, מה שנקרא cost listing, שמתיר רישיון למסחר של חברות זרות הנסחרות בבורסות הזרות גם בבורסה שלנו. וזאת, מבלי שהם יידרשו להסכים או להיות מעורבים ובלי שחלות הוראות הגילוי לפי חוק ניירות ערך ופיקוח הרשות. מנגנונים כאלה יש כבר בפרנקפורט וגם בשוויץ.",בטחון,כלכלי,0.9712713,,,,,,,
"נושא אחד זה הגבלה על רישיון נהיגה לחייבים בהוצאה לפועל. יש חוק שאומר שאסור לשלול את הרישיון מאדם שזאת פרנסתו ואנחנו רוצים להגיע למצב שאדם שעבר כבר את חקירת היכולת ומתברר באמת שאין לו, אז צריך לאפשר לו לנהוג כדי שינסה להתפרנס, גם אם הוא לא נהג מונית או נהג משאית, שינסה לעשות הכנסות כדי שיוכל גם לשלם את חובותיו.",בטחון,תחבורה,0.9694728,,,,,,,
"ביקרתי בחלק מהמבנים הזמניים שאנשים נאלצים לגור בהם עד היום. ההשתרכות הזאת, כמות הבירוקרטיה, העמידה מול שורה ארוכה של יועצים משפטיים שהממשלה לקחה כדי לעבוד מול המפונים ועדיין מבלי לזרז תהליכים ומבלי לדאוג להם לבית, זה דבר שאני ממש מתביישת בו. אני חושבת שהסיפור הזה היה צריך להיפתר כבר לפני שנים.",בטחון,דיור,0.9684836,,,,,,,
"לא, לדעתי צריכים. אני אגיד לך אדוני יושב הראש מדוע. משום שבזמן שאנחנו מדברים, מאז שהנחנו את הצעת החוק בחודשים האלה, כבר יש עוד מינים של עופות שנכחדו מארצנו. רק השבוע פורסם על העיטם לבן הזנב שנכחד, מתה הנקבה האחרונה. ושני מקרים של הרעלות שהיו שם. ואנחנו יודעים על הנשרים. אז אנחנו מדברים על בעיה מאוד לוחצת, שכן צריך לסיים אותה היום ולהביא אותה לקריאה ראשונה. ",בטחון,אנרגיה,0.9684805,,,,,,,
"כמובן שלא. הנקודה הזו – ברצינות – זה באמת היה מודל. אני אומר את זה לא רק כיוון שהובלתי זאת, אלא באמת הכנסת מחפשת כלים אמתיים. נחלש מעמדה בצורה מאד משמעותית. אם יש דבר שנחלש מעמדה של הכנסת בעיקר מול הרשות המבצעת – הכנסת נהיתה אסקופה נדרסת של הרשות המבצעת. אני אומר את זה כפלקט גדול. לא ימין, שמאל, קואליציה, אופוזיציה אלא בכלל. היכולת שלנו לפקח היא כמעט אפס.",בטחון,בלי,0.96628094,,,,,,,
"זאת אומרת, אין שום ספק שההתיישבות במדינת ישראל היא זו שקבעה את הגבולות והיא זו ששמרה על הגבולות, ושומרת עד היום לאורך כל השנים האלה. התפקיד שלנו בכנסת והתפקיד שלנו כמדינה, זה לראות שהיישובים האלה מוגנים מספיק ויש בהם מקורות פרנסה, ואנחנו דואגים לאותם אנשים אמיצים שהתיישבו רחוק מאוד מהמרכז ושומרים על הגבולות. ",בטחון,בטחון,0.965102,,,,,,,
"בפיגוע דקירה שהתרחש במוצאי שבת 28 בדצמבר 2019, ליל שביעי של חג החנוכה, בשכונה פארשי בעיירה מונסי שבמדינת ניו-יורק נפצעו 15 אנשים, ביניהם הרב יוסף נוימן שנפטר כעבור יום. בן 72 היה במותו. ",בטחון,בטחון,0.96494067,,,,,,,
"מאחר וראיתי את דברי ההסבר, ואני מודה שעברתי עליהם, אני קורא לטובת מי שלא מחזיק את דברי ההסבר, כתוב כך: ""מוצע לבטל את הוראות סעיף קטן (א2). ראוי כי החלטת ועדת השרים לעניין פתיחה במלחמה או נקיטת פעולה צבאית משמעותית...""",בטחון,בטחון,0.96385795,,,,,,,
"אני מודיע ומכריז שלפי סעיף 120(ב)(2) לתקנון הכנסת, הישיבה הזאת לא חסויה. אני מבקש, על מנת לאפשר זכות דיבור לכולם, לכמה שיותר פונים, ויש הרבה, לא יותר משלוש דקות לדובר. אני מדגיש שהישיבה הזאת משודרת. ולכן, מצנעת הפרט, אם למישהו יש בעיה עם זה, אז שייקח בחשבון שהישיבה משודרת ורואים את מה שקורה פה.",בטחון,בלי,0.9638439,,,,,,,
"כן. הוא רוצה לשלם, מוכן. למה? כי ייתכן שיש הורים שידם אינה משגת, ואולי אין להם את הרצון ואת היכולת. האם בשם ערך השוויון כולם צריכים להיות אומללים במידה שווה? זו השאלה שלי. גישת השוויון הביאה מספיק אומללות לאנושות. ואנחנו יודעים שגם ביורוקרטיה לפעמים יכולה להביא תוצאות הפוכות לגמרי מהכוונה המקורית שלה. ",בטחון,רווחה,0.9638322,,,,,,,
