,NonStopwordsQuoteText,Topic,Topic_Prob,TopicWords,Batch
1322,העבודה והרווחה והשירותים החברתיים יישם תוכנית לשדרוג תעסוקתי יוצאי אתיופיה השנים 2019-2016 התוכנית יושמה כחלק מהתוכנית הממשלתית לשילוב יוצאי אתיופיה שמוביל בתוכנית השתתפו כ-4000 משתתפים 650 משתתפים קיבלו מענקים למימון הכשרות 450 משתתפים השתתפו בהכשרות מקצועיות 180 למדו הנדסאות 265 השתתפו בהכשרות לשילוב בהייטק 300 השתתפו בתוכנית לאקדמאים מצטיינים 80% מתוכם הושמו בעבודה 35% דיווחו שיפור בשכר ו-65% דיווחו שיפור בתנאי,נשים,0.9843042,"('0.021*""נשים"" + 0.011*""אלימות"" + 0.007*""מינית"" + 0.006*""הנשים"" + 0.006*""אתיופיה"" + 0.005*""מיניות"" + 0.005*""פגיעה"" + 0.004*""כלפי"" + 0.004*""הרב"" + 0.004*""יוצאי""',)",4
254,המשימה השנייה שיתופי פעולה עלינו להכיר מקבילינו בוועדות החוץ בפרלמנטים שונים לחזק מערכות יחסים קיימות ולבנות מערכות יחסים חדשות ניקח פעיל בביסוס והרחבת התמיכה בישראל בקרב המדינות המסייעות בעת הצורך במקביל עלינו להציב מראה מדינות המתנהלות במוסר כפול מדינת ישראל; מדינות אשר מאשימות בפשעים מדומיינים בעוד מעלימות עין מפשעים האנושות מדינות אחרות נוח וקל להן,עולים,0.98252773,"('0.011*""עולים"" + 0.010*""בישראל"" + 0.008*""חדשים"" + 0.008*""העולים"" + 0.006*""השואה"" + 0.005*""החדשים"" + 0.004*""ניצולי"" + 0.004*""שואה"" + 0.004*""בקרב"" + 0.004*""מדינת""',)",4
8386,מכובדיי צוהריים שממשיך אתנו מהדיון הקודם שהצטרפו אלינו הנוכחי ממשיכים במרתון דיונים ההתמודדות נגיף הקורונה יומנו סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות ציבורי עסקי והוראות נוספות 14 ותיקון 15 התשפב-2021בתיקון 14 מאשרים התקנות שכבר נכנסו לתוקף תוך שימוש בסעיף הדחיפות ותיקון 15 התיקון שאמור להיכנס לתוקף הלילה בחצות,קורונה,0.98092806,"('0.023*""הקורונה"" + 0.018*""הוראת"" + 0.014*""העבודה"" + 0.012*""נגיף"" + 0.011*""הרווחה"" + 0.009*""והבריאות"" + 0.008*""סמכויות"" + 0.007*""מיוחדות"" + 0.007*""להתמודדות"" + 0.007*""בדצמבר""',)",4
161,מסתכלים ההצדקה נקודת המוצא קורא חובת ההגנה העצמית למדינה זכות הגנה עצמית מדינות אחרות חובת הגנה עצמית ביחס לאזרחיה ותושביה והיא עצמה בהקשרי ריבונותה חובה למדינה להגן האזרחים מפני סכנה שנשקפת לחייהם ולעצמאותם לשאול מדינה עומדת בחובה לאזרחיה ולעצמה הגנה אפקטיבית הגנה סמלית אכן הגנה והיא להגן אזרחיה,כלכלי,0.98006743,"('0.019*""שקלים"" + 0.015*""מיליון"" + 0.010*""שקל"" + 0.006*""בשנת"" + 0.006*""מיליארד"" + 0.005*""האוצר"" + 0.005*""אישור"" + 0.004*""הכספים"" + 0.004*""עסקים"" + 0.004*""מדינה""',)",4
2044,פורסמו מחקרים ותמיד ויכוח קליקה סגורה שכולם נראים חושבים באים מאותו בית-מדרש לכאורה מגובשים לבין הערך המוסף בגיוון ויותר ויותר חברות גדולות ובין-לאומיות מבינות ערך מוסף אמיתי לגיוון אומרת זהים בחדשנות ביצירתיות ביכולת תפוס בפרדיגמות וכו ויותר ויותר העסקי גיוון כערך,התנחלויות,0.9767171,"('0.006*""ושומרון"" + 0.005*""צריכים"" + 0.004*""נושאים"" + 0.004*""ביהודה"" + 0.004*""הנושאים"" + 0.004*""נורא"" + 0.003*""אדמה"" + 0.003*""מגיעים"" + 0.003*""נדבר"" + 0.003*""ודאי""',)",4
18822,רב החוקה ומשפט ארבעה נושאים הכרזת סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת בידוד שנכנס לישראל בנסיבות מיוחדותתיקון 5; סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הגבלת פעילות במקומות עבודהתיקון 7; סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת הידוק הגבלותתיקון 4; סמכויות מיוחדות להתמודדות נגיף הקורונה הוראת שעההידוק הגבלותתיקון 2 התשפא-2021,קורונה,0.9763042,"('0.023*""הקורונה"" + 0.018*""הוראת"" + 0.014*""העבודה"" + 0.012*""נגיף"" + 0.011*""הרווחה"" + 0.009*""והבריאות"" + 0.008*""סמכויות"" + 0.007*""מיוחדות"" + 0.007*""להתמודדות"" + 0.007*""בדצמבר""',)",4
1525,להתחיל אתך פרופסור גרוטו וזאת הזדמנות מצוינת להודות שהצטרפת אלינו בשם אומרת שההשתתפות העקבית בדיונים מקפיד מבחינתנו עדות לחשיבות אישי וכמובן בשם הבריאות השתתפת בישיבה הקודמת כחודש חודשיים והצגת בפנינו שורה צעדים שבשיתוף המנכל החלטתם להתמקד בצעדים בתחום הפרסום והשיווק,נשים,0.9762273,"('0.013*""לקידום"" + 0.013*""מעמד"" + 0.012*""האישה"" + 0.008*""נשים"" + 0.008*""איתנו"" + 0.008*""מגדרי"" + 0.007*""אלינו"" + 0.007*""שמחה"" + 0.007*""אתן"" + 0.007*""פותחת""',)",4
4524,שיגרתי מכתבים לשני גדולי תורה מכבד ומוקיר מעומק לבי להיותי ממפלגת עתיד ספרדי מזרחי באתי מדימונה חלקה משפחתי חרדים חי שמאוד כואב השולחן מרפה הרב שטיימן והחכם כהן שאותו מכיר אישי משער ענקי דור יתייחסו לסוגיה ויגיבו שנשמע קולם,בטחון,0.97558415,"('0.005*""האוצר"" + 0.004*""חיילים"" + 0.004*""תקציב"" + 0.003*""צריכים"" + 0.003*""הביטחון"" + 0.003*""שנת"" + 0.003*""הדברים"" + 0.003*""מחר"" + 0.003*""בודדים"" + 0.003*""במשרד""',)",4
5596,שאפשר להתייחס אליו בתור הדייר הסרבן ואיך מקטינים הכוח הדייר הסרבן צריכים מצד להגן דייר שבאמת לצאת מביתו ואפילו דיירים מעוניינים יפגע מצד לגרום לכך שדייר שמעוניין בעוד מניעים ימנע העסקה חשובה לשאר המשפחות שנמצאות בבניין,נשים,0.9736686,"('0.021*""נשים"" + 0.011*""אלימות"" + 0.007*""מינית"" + 0.006*""הנשים"" + 0.006*""אתיופיה"" + 0.005*""מיניות"" + 0.005*""פגיעה"" + 0.004*""כלפי"" + 0.004*""הרב"" + 0.004*""יוצאי""',)",4
1008,מעלה השאלה נדרש נעשה שימוש וכמה מעלה השאלות פתח ואתה חשבת שכולם יבואו ויבנו בתי מלון ואתה שהפתח פתח שצריך המטרה עידוד תיירות נגדה ועידוד מלונאות מתנגדת לחיבור שבין מלונאות מגורים ובוודאי כשהוא לצד החוף,תחבורה,0.9729241,"('0.009*""ציבורית"" + 0.007*""הממלכה"" + 0.007*""התחבורה"" + 0.006*""תחבורה"" + 0.006*""הציבורית"" + 0.006*""לאנשי"" + 0.005*""אנשי"" + 0.004*""המשפט"" + 0.004*""יגיעו"" + 0.003*""מודה""',)",4
