QuoteText,Topic,Topic_Prob
"באנו בדברים בימים האחרונים עם הגורמים בחברת החשמל וניסינו כן לתת איזה בשורה היום לציבור הזה שאני חושב שמגיע לו אכן לקבל את אותן הנחות שניתנו לכלל האזרחים שזכאים בנכויות: משפחות חד-הוריות, כל מיני מצבים שחברת החשמל כן מצאה לנכון לתת להם את ההנחה, נכים וכדו'.",דיור,0.675425
"בדוח שיצא לאחרונה – מה שגרם לנו באמת ליזום את הדיון הזה – הדוח שהתפרסם לפני כשבוע בנושא שכר מורים באופן כללי במערכת החינוך במדינת ישראל, הנתונים העידו כי שכר המורים במערכת החינוך הוא 35% פחות מממוצע השכר של מורים במדינות ה-OECD. הדוח הזה גם התייחס לשכר מורות – שכר המורות במדינת ישראל על פי הדוח אינו שווה לשכר מורים, לאותו סוג של משרה ולאותו אחוז משרה. אנחנו חשבנו להרחיב את הדיון בתעסוקת מורות באופן כללי ולהתייחס גם לתעסוקתן ולאי תעסוקתן – כלומר, גם למספר הרב של מורות, בעיקר בתוך האוכלוסייה הערבית, מורות ערביות, שלא משובצות, שלא מקבלות משרות עבודה. כ-7,000, אם אני לא טועה, אולי קצת יותר, בעצם אינן מועסקות.",דיור,0.61887246
"בתפקיד שיש לכם, הסדרה או תכלול בין כל המתעסקים בזה בארץ, זה גם חלק נמצא עליכם, לכן אנחנו שמחים ומעוניינים לשמוע את הדוח ושתציגו בפנינו את הדוח. אני מבין שיש לכם גם כמה וכמה משימות, עברתי על החוק, אני חושב שזו הפעם השנייה שהדוח מוצג בפני ועדת המדע? ",דיור,0.89506024
"גם רן, וגם עם עוד חברות שניהלנו את הפורום לפני המפגש אתך, הם הגיעו למסקנה שהמקפצה היא גדולה מדי. אז אולי בעצם לצמצם קצת ולהעלות כאן, כך שכבר מראש הגענו למסקנה כזאת. ",דיור,0.9348819
"הדבר השני במסגרת אותו שינוי, זה שאנחנו רואים שהאופן שבו המדינה מתוכננת, זה שיש מקומות שבהם יש הרבה מאד תעסוקה, שזה בעיקר אזורי המרכז, אבל שם הדיור מאד יקר. ולעומת זאת בפריפריה הדיור יותר זול, למרות ששום דבר כבר לא זול בדיור בישראל, הדיור יותר זול, אבל אתגרי התעסוקה הם הרבה יותר משמעותיים. ",דיור,0.6184331
"עכשיו אני הולך לגופו של עניין. יש אמירה, שמדברים עליה כל הזמן, של שילוב חרדים בעבודה ודברים מהסוג הזה. אני עוסק בעניין הזה כבר הרבה שנים. האמירה על שילוב חרדים בעבודה - אני לא מדבר על מקרים פרטניים - היא אמירה שאין מאחוריה ולא כלום. אם אנחנו בוחנים, ואני נמצא כאן הרבה שנים, אז היו חוקים של העדפה מתקנת שלכאורה סותרים את חוק השוויון. התגברו על העניין הזה. אמרו שתהיה העדפה מתקנת לנשים. זה היה החוק הראשון. החוק הזה הצליח. בהתחלה היו פחות נשים בשירות המדינה ובמקומות אחרים, אבל אחרי זה מספר הנשים בשירות המדינה גדל באופן דרמטי. הוא  לא גדל במשרות הבכירות. עד המשרות הבכירות מספר הנשים בשירות המדינה גדל.  ",דיור,0.75902545
"לפני שאנחנו מתחילים אני רק רוצה שאנחנו נסביר מה אנחנו רואים פה. שלום לכולם, שמי אביגיל וובו ומה שאני רק רוצה להסביר זה מה אנחנו רואים פה. אנחנו רואים פה ילדים מתוקים שהם מכיתת האולפן ותנועת בני עקיבא, אנחנו נכנסים לפה מדי פעם להעביר כל מיני פעילויות בנושאים שונים. היום החניכים עוברים פעילות בנושא בני עקיבא, הם לומדים חופשי הקשב, על המפקד, על בני עקיבא, עוד מעט הם ילמדו גם על רבי עקיבא במטרה שכשהם יגיעו לתנועת הנוער הם ירגישו חלק מכולם. ",דיור,0.7049925
"ממש בתחילת הדרך, אחרי שנבחרתי לתפקיד הזה, קיימתי ישיבה עם ארגון אית""ך – מעכי, עם קבוצת מתנדבות, כאשר חשפתן בפני את העבודה שאנחנו הולכים לדבר עליה היום, הולכות לדבר עליה, על הסקר שעשיתם בעניין של הטרדות מיניות על ידי מטפלים במערכת הבריאות. ",דיור,0.74148643
"אני מחדש את ישיבת הוועדה. אנחנו עוברים לסעיפים שקשורים לרשות לניירות ערך וזה תקנות השקעות משותפות בנאמנות (הצעת יחידות של קרן חוץ), - - ",דיור,0.55438596
"עיר במרכז הארץ, במיקום אסטרטגי הטוב ביותר. היו כמה סברות על שם מי אור יהודה, בסוף יישרנו קו שזה על שם ר' יהודה אלקלעי, ממבשרי הציונות. ",דיור,0.77478224
