Type,QuoteWordCount,QuoteLen,StartDate,Speaker,QuoteText,NonStopwordsQuoteText,Tag
Committee,114.0,690.0,2022-01-17 12:00:00," << יור >> היו""ר אפרת רייטן מרום: << יור >>  ","בשיחות שקיימתי עם האוצר ובשיחות שקיימתי אם יושב-ראש ועדת הכלכלה עלתה טענתנו שגם בכנסת יש לשמוע היטב את הקולות האלה שמגיעים לכאן, שיספרו ממקום ראשון. אולי יש בידם נתונים שונים מהנתונים האבסולוטיים שמגיעים מבנק ישראל ויש חשיבות גדולה לבחינה שלהם. אני חושבת שיש צורך כבר עכשיו לעשות תיקונים מסוימים ונדבר על זה בהמשך. יש להביא בחשבון שלוועדות הכנסת יש תפקיד מרכזי וחשוב בתיקון והבאת החוקים. אנחנו תומכים בקואליציה ובהחלטות ממשלה, זה לא אומר שקולנו לא יישמע במסגרת הדיונים. החקיקה תגיע לוועדות הכלכלה והעבודה והרווחה. אני אומרת כאן שתצטרכו לקחת בחשבון את העמדה שלנו שמייצגת את האינדיבידואל ואת הציבור ואני מקווה ומאחלת לנו שנצליח להגיע לפתרונות הללו, עד כאן דבריי. יושב-ראש ועדת הכלכלה, בבקשה. ",בשיחות שקיימתי האוצר ובשיחות שקיימתי יושב-ראש הכלכלה עלתה טענתנו היטב הקולות שמגיעים לכאן שיספרו ממקום בידם נתונים שונים מהנתונים האבסולוטיים שמגיעים מבנק חשיבות לבחינה צורך תיקונים מסוימים ונדבר בהמשך בחשבון שלוועדות תפקיד מרכזי וחשוב בתיקון והבאת החוקים תומכים בקואליציה ובהחלטות שקולנו יישמע במסגרת הדיונים החקיקה תגיע לוועדות הכלכלה והעבודה והרווחה אומרת שתצטרכו בחשבון העמדה שמייצגת האינדיבידואל הציבור ומאחלת שנצליח לפתרונות הללו דבריי יושב-ראש הכלכלה,כלכלי
Committee,114.0,690.0,2022-01-17 12:00:00," << יור >> היו""ר אפרת רייטן מרום: << יור >>  ","בשיחות שקיימתי עם האוצר ובשיחות שקיימתי אם יושב-ראש ועדת הכלכלה עלתה טענתנו שגם בכנסת יש לשמוע היטב את הקולות האלה שמגיעים לכאן, שיספרו ממקום ראשון. אולי יש בידם נתונים שונים מהנתונים האבסולוטיים שמגיעים מבנק ישראל ויש חשיבות גדולה לבחינה שלהם. אני חושבת שיש צורך כבר עכשיו לעשות תיקונים מסוימים ונדבר על זה בהמשך. יש להביא בחשבון שלוועדות הכנסת יש תפקיד מרכזי וחשוב בתיקון והבאת החוקים. אנחנו תומכים בקואליציה ובהחלטות ממשלה, זה לא אומר שקולנו לא יישמע במסגרת הדיונים. החקיקה תגיע לוועדות הכלכלה והעבודה והרווחה. אני אומרת כאן שתצטרכו לקחת בחשבון את העמדה שלנו שמייצגת את האינדיבידואל ואת הציבור ואני מקווה ומאחלת לנו שנצליח להגיע לפתרונות הללו, עד כאן דבריי. יושב-ראש ועדת הכלכלה, בבקשה. ",בשיחות שקיימתי האוצר ובשיחות שקיימתי יושב-ראש הכלכלה עלתה טענתנו היטב הקולות שמגיעים לכאן שיספרו ממקום בידם נתונים שונים מהנתונים האבסולוטיים שמגיעים מבנק חשיבות לבחינה צורך תיקונים מסוימים ונדבר בהמשך בחשבון שלוועדות תפקיד מרכזי וחשוב בתיקון והבאת החוקים תומכים בקואליציה ובהחלטות שקולנו יישמע במסגרת הדיונים החקיקה תגיע לוועדות הכלכלה והעבודה והרווחה אומרת שתצטרכו בחשבון העמדה שמייצגת האינדיבידואל הציבור ומאחלת שנצליח לפתרונות הללו דבריי יושב-ראש הכלכלה,כלכלי
Committee,110.0,625.0,2021-03-03 14:00:00, << דובר >> מיכל וונש (כחול לבן): << דובר >>   ,"כן בהקשר הנכון, אדוני היושב-ראש, כיוון שהביקורת הייתה על הסגירה ללא הסבר וללא שקיפות, על הפתיחה ללא הסבר וללא שקיפות. אם המטרה היא לשמור על בריאות הציבור, אז לא כאן ולא כאן דעתי נוחה. אני מקבלת את הסכנה, אדוני היושב-ראש, שיש על אזרחי מדינת ישראל, צריך להיות מנגנון לסגירה ולפתיחה כי הסכנה היא אמיתית לבריאות הציבור. מרגע שהחלטנו לסגור את השמיים כי יש סכנה לבריאות הציבור, מאותו רגע הייתה צריכה להיות תכנית אמיתית שתאפשר לאזרחים לנוע, לבני הזוג שלהם להיכנס. משהחלטנו פתאום לפתוח את השמיים כי יש בחירות, ובאמת זאת זכות דמוקרטית חשובה, בריאות הציבור עדיין חשובה לא פחות. אדוני היושב-ראש, אני חושבת שחלק מהסיבה היא שאין שקיפות.  ",בהקשר הנכון היושב-ראש כיוון שהביקורת הסגירה הסבר וללא שקיפות הפתיחה הסבר וללא שקיפות המטרה לשמור בריאות הציבור דעתי נוחה מקבלת הסכנה היושב-ראש אזרחי מדינת מנגנון לסגירה ולפתיחה הסכנה אמיתית לבריאות הציבור מרגע שהחלטנו לסגור השמיים סכנה לבריאות הציבור מאותו תכנית אמיתית שתאפשר לאזרחים לנוע לבני הזוג להיכנס משהחלטנו פתאום השמיים בחירות ובאמת זכות דמוקרטית חשובה בריאות הציבור חשובה היושב-ראש שחלק מהסיבה שקיפות,קורונה
Committee,133.0,696.0,2017-02-21 11:00:00,"היו""ר דוד אמסלם:","אני אומר בגדול, בסך הכול יש לנו אתרים מקודשים לעם היהודי, ולא רק לעם היהודי, יש אתרים נוספים אחרים מעדות אחרות, אנחנו מכבדים את כל האתרים, אז אני אמרתי שנעשה דיון בענין הזה כדי לצאת בסופו של דבר, בסוף הדיון, כשאנחנו לפחות מדברים ומנסים לכוון לזה שאתר הרשב""י יהיה אתר יותר מכובד מהיום, יותר נקי, יותר אסתטי, ייתן שירות לכל האנשים שבאים לקבל שם שירות וכמובן, אני אומר את זה באופן חד משמעי ובאופן קטגורי, אני גם מתייחס לדוכנים שם. הייתי הרבה שנים בעירייה והיו לנו הרבה דוכנים שהיינו מאפשרים אותם לאנשים, בסופו של דבר, יש שם גם צורך בדוכנים ויש גם אנשים שמתפרנסים מזה, רק צריך להסדיר את הכול שיהיה מכובד ובסך הכול התוצאה יכולה להיות בסופו של דבר, ולשם אני מושך, שכולם ייהנו. זאת אומרת שגם יהיו - - - ",בגדול בסך הכול אתרים מקודשים לעם היהודי לעם היהודי אתרים מעדות אחרות מכבדים האתרים אמרתי שנעשה בענין לצאת בסופו ומנסים לכוון שאתר הרשבי אתר מכובד מהיום נקי אסתטי ייתן שירות שבאים שירות וכמובן חד משמעי ובאופן קטגורי מתייחס לדוכנים בעירייה והיו דוכנים שהיינו מאפשרים לאנשים בסופו צורך בדוכנים שמתפרנסים להסדיר הכול מכובד ובסך הכול התוצאה בסופו ולשם מושך שכולם ייהנו אומרת,בלי
Committee,113.0,577.0,2017-02-20 10:30:00,"היו""ר קארין אלהרר:","תראו, אנחנו עוסקים היום בנושא כאוב ועצוב. הוא כאוב ועצוב פעמיים. הוא נושא של רשלנות רפואית. פעם אחת כי זה פשוט עצוב. כי הייתה טעות וזה נכון שטעויות יכולות לקרות, הן לא צריכות, אבל הן יכולות, בוודאי כשמדובר בהליך רפואי. גם אם מדובר בהליך רפואי אלקטיבי וממנו יוצאים עם מגבלה קשה לכל החיים, או חס וחלילה נשמע גם על מקרה פטירה שהגיע. זה באמת לא מתקבל על הדעת. ופעם שנייה, כי לקראת הדיון היום הגיעו אלינו מקבץ של מקרים, שבהם לא רק שהנורא מכל קרה ובן המשפחה נפגע בגלל רשלנות, אלא שזה גם לא נבדק עד הסוף ולא טופל עד הסוף במשרד הבריאות, כדי לוודא שמקרים כאלה לא ישנו ולא יחזרו על עצמם.",תראו עוסקים כאוב ועצוב כאוב ועצוב פעמיים רשלנות רפואית עצוב טעות שטעויות יכולות לקרות צריכות יכולות בוודאי כשמדובר בהליך רפואי בהליך רפואי אלקטיבי וממנו יוצאים מגבלה חס וחלילה פטירה שהגיע מתקבל הדעת ופעם שנייה לקראת הגיעו אלינו מקבץ מקרים שבהם שהנורא קרה ובן המשפחה נפגע רשלנות נבדק הסוף טופל הסוף במשרד הבריאות לוודא שמקרים ישנו יחזרו עצמם,בריאות
Committee,110.0,585.0,2018-05-29 10:30:00,"היו""ר אורי מקלב:","הנושא האחרון שהתוודענו אליו, אני רוצה להגיד שזה היה גם כן באופן די מקרי, אני רוצה להגיד שזו פעולה יפה, שליחות יפה של חבר מועצה במועצת חוף אשקלון. התושבים לא קיבלו שירות כמה ימים ומישהו, חבר מועצה, נדרש ושאל וחקר ושוב חקר ושוב דרש והוא קיבל את התשובה שבעצם המועצה נמצאת בדרישת כופר ואין לה את המידע שהיא יכולה להפעיל והיא בעצם חסומה מלהפעיל את המערכות שלה. המועצה שילמה את הכופר, אבל מהפרט למדנו כלל, שזה לא המקרה הראשון, ששולם, שזה קיים. עצם הנושא הזה שנמצא פרוץ, כפי שאנחנו יודעים במקרים כאלה, כפי שכל קרימינל יודע וכפי שגם אנחנו יודעים, שכל פרצה קוראת לעוד פרצות וזה רק יכול להתגבר. ",האחרון שהתוודענו אליו מקרי שזו פעולה שליחות מועצה במועצת חוף אשקלון התושבים קיבלו שירות ימים ומישהו מועצה נדרש ושאל וחקר ושוב חקר ושוב דרש קיבל התשובה שבעצם המועצה בדרישת כופר ואין המידע להפעיל והיא חסומה מלהפעיל המערכות המועצה שילמה הכופר מהפרט למדנו כלל המקרה ששולם קיים עצם שנמצא פרוץ במקרים קרימינל וכפי פרצה קוראת לעוד פרצות להתגבר,בלי
Committee,102.0,556.0,2017-07-16 12:30:00,שוקי שמר:,"אני קצת אתן לכם מספרים. כשמסתכלים על אסותא, יש לנו ארבעה בתי חולים, יש לנו בית חולים בצפון, בקריות, יש לנו בית חולים בדרום, בבאר שבע, יש לנו בית חולים בראשון, יש לנו בית חולים בתל אביב, יש לנו שלושה מרכזים רפואיים שבהם אפשר לעשות דברים עד אשפוז של 23 שעות ואנחנו מפעילים MRI, היחידים בארץ, מבאר שבע בואך אילת דרך דימונה ויישובים אחרים, ככל שרק אנחנו מתבקשים. אנחנו מפעילים את ניידת הממוגרפיה, שהאגודה למלחמה בסרטן לא הצליחה להפעיל, הם נתנו לנו אותה, ואנחנו מפעילים אותה ממטולה ועד אילת בכל המקומות הכי נידחים. עכשיו אנחנו רוצים גם לנסות לרכוש ניידת נוספת. ",אתן מספרים כשמסתכלים אסותא ארבעה בתי חולים חולים בצפון בקריות חולים בדרום בבאר שבע חולים בראשון חולים בתל שלושה מרכזים רפואיים שבהם אשפוז 23 מפעילים MRI היחידים מבאר שבע בואך אילת דימונה ויישובים ככל שרק מתבקשים מפעילים ניידת הממוגרפיה שהאגודה למלחמה בסרטן הצליחה להפעיל נתנו מפעילים ממטולה אילת המקומות נידחים לנסות לרכוש ניידת נוספת,בריאות
Committee,113.0,612.0,2017-05-29 12:00:00,"היו""ר איתן ברושי:","ברור שבסדר העדיפות של המשטרה, היא לא רואה בזה יעד מרכזי, הראיה, כשיש משברים כמו ירושלים או אחרים, בדרך כלל לוקחים את הכוחות המעטים שעסוקים בהגנה במניעת הפשיעה החקלאית. אי אפשר להטיל את האחריות רק על הגופים האזרחיים, אנחנו כבר מדינה שחגגה השנה עצמאות עוד מעט 70 שנה, עם כל הכבוד, ויש כאן ארגונים ויש כבוד, יש מדינה והיא צריכה לתת את התשובה. אי אפשר לא פעם לשאול, אם זו הייתה אוכלוסייה אחרת, אם זה היה מקום אחר, מה שאני קורא היפים והאמיצים זוכים לתשובות יותר מהירות מהמשטרה, עד כדי לחפש את הפלאפון של איזה ידוענים ואיזה רכבים מיוחדים שנגנבים, מושקעים הרבה יותר מאמצים מאשר באמצעי ייצור של חקלאים שפרושים בכל הארץ. ",שבסדר העדיפות המשטרה יעד מרכזי הראיה כשיש משברים ירושלים כלל לוקחים הכוחות המעטים שעסוקים בהגנה במניעת הפשיעה החקלאית להטיל האחריות הגופים האזרחיים מדינה שחגגה עצמאות 70 ארגונים מדינה והיא התשובה לשאול אוכלוסייה קורא היפים והאמיצים זוכים לתשובות מהירות מהמשטרה לחפש הפלאפון ידוענים ואיזה רכבים מיוחדים שנגנבים מושקעים מאמצים מאשר באמצעי ייצור חקלאים שפרושים הארץ,בטחון פנים
Committee,87.0,502.0,2017-04-04 10:00:00,דורית סלינגר:,"כמו שהיושבת ראש ציינה, אנחנו מדברים על מערכות לתיווך בין כספים שמלווים לכספים שלווים. המערכת הזאת היא תוצר של התפתחות טכנולוגיה קיימת. מדובר על מערכת חדשה יחסית בעולם. היא מתווכת בין אנשים שיש להם מקורות שהם מעוניינים להשקיע על מנת לקבל תשואה, לבין לווים שצריכים ומעוניינים ללוות. היא מערכת סגורה. היא סגורה במובן הזה שהכסף מגיע מהמלווה לתוך המערכת, מופץ או מפוזר ללווים שונים, כאשר הכסף מן הלווים חוזר ישירות לחשבון של המלווה עצמו. יש מערכת אחת שמנהלת חשבונות בנאמנות עבור המלווים שאת כספם היא מלווה. ",שהיושבת ציינה מערכות לתיווך כספים שמלווים לכספים שלווים המערכת תוצר התפתחות טכנולוגיה קיימת מערכת חדשה יחסית מתווכת מקורות מעוניינים להשקיע מנת תשואה לבין לווים שצריכים ומעוניינים ללוות מערכת סגורה סגורה במובן שהכסף מהמלווה לתוך המערכת מופץ מפוזר ללווים שונים הכסף הלווים חוזר ישירות לחשבון המלווה מערכת שמנהלת חשבונות בנאמנות עבור המלווים כספם מלווה,כלכלי
Committee,92.0,490.0,2017-07-19 09:00:00,"היו""ר נורית קורן:","אני אחזור שוב על הדברים, שבעצם כרגע מתברר לנו שהפרשה משליכה על הדור השני, והדור השני כשהם רוצים לבוא ולממש את הרכוש של ההורים אחרי הפטירה שלהם ולחלק את הירושה בין בני המשפחה, ואנחנו מדברים על צו ירושה, זה אומר שאין צוואה וצריך לחלק את הירושה על פי דין. אם רשום במסמכים שיש ילד נוסף, בני המשפחה האחרים צריכים להוכיח שהילד הזה איננו בין החיים, ובעצם כאן נכנסת הפרשה שלנו שהילדים נעדרו, הם רשומים בתעודות הזהות של ההורים, אבל אין שום תעודת פטירה, אין שום דבר, ולא יכולים לבוא ולאמר שהילד נפטר.",אחזור הדברים שבעצם מתברר שהפרשה משליכה הדור והדור כשהם לבוא ולממש הרכוש הפטירה ולחלק הירושה המשפחה צו ירושה צוואה וצריך לחלק הירושה פי דין רשום במסמכים ילד נוסף המשפחה האחרים צריכים להוכיח שהילד איננו ובעצם נכנסת הפרשה שהילדים נעדרו רשומים בתעודות הזהות תעודת פטירה יכולים לבוא ולאמר שהילד נפטר,רווחה
